"d","h","sp"
68.04,31.96,"Lasioglossum"
0,100,"Megachile"
98.53,1.47,"Halictus"
44.76,55.24,"Ceratina"
0,100,"Melitoma"
NA,NA,"Bombus"
NA,NA,"Perdita"
100,0,"Coelioxys"
34.49,65.51,"Hoplitis"
98.94,1.06,"Osmia"
41.25,58.75,"Augochlorella"
47.79,52.21,"Nomada"
56.64,43.36,"Augochlora"
22.14,77.86,"Agapostemon"
76.33,23.67,"Melissodes"
64.76,35.24,"Andrena"
0,100,"Augochloropsis"
36.31,63.69,"Colletes"
100,0,"Florilegus"
27.68,72.32,"Heriades"
46.02,53.98,"Ptilothrix"
0,100,"Triepeolus"
90.66,9.34,"Hylaeus"
0,100,"Dieunomia"
100,0,"Xylocopa"
0,100,"Svastra"
NA,NA,"Eucera"
34.81,65.19,"Anthidiellum"
0,100,"Calliopsis"
0,100,"Panurginus"
0,100,"Anthophora"
70.24,29.76,"Peponapis"
99.39,0.61,"Anthidium"
